Age,Gender,Hydration_Level,Oil_Level,Sensitivity,Humidity,Temperature,Skin_Type,Sleep_Hours,Water_Intake_L,Exercise,Stress_Level,Diet,Smoking,Alcohol,Skin_Health_Score
35,Female,Low,Low,Medium,57.4,20.8,Dry,5,2.1,Light,Low,Balanced,No,Never,59
31,Female,High,High,Low,77.8,29.5,Oily,7,1.0,Light,High,Junk,Yes,Never,22
52,Male,Medium,Medium,Low,41.4,27.7,Normal,7,2.0,Moderate,Medium,Healthy,No,Never,79
52,Male,High,High,High,30.0,26.6,Sensitive,7,1.5,Light,Low,Balanced,No,Occasionally,61
44,Female,Medium,Medium,Low,69.9,19.0,Combination,6,1.7,None,High,Healthy,No,Never,35
19,Male,Medium,Medium,High,52.9,23.1,Oily,6,1.5,Moderate,Medium,Healthy,No,Frequently,43
55,Male,High,High,High,47.5,36.8,Sensitive,5,1.2,Moderate,Medium,Healthy,No,Occasionally,47
25,Male,Medium,High,Medium,45.5,35.0,Oily,7,1.3,Regular,Medium,Mixed,No,Never,67
51,Female,Medium,Medium,Low,80.2,33.5,Normal,7,2.3,Regular,Low,Junk,Yes,Never,58
33,Female,Medium,Medium,Low,65.1,24.7,Normal,7,3.6,Light,Low,Mixed,No,Occasionally,80
35,Male,Medium,Medium,Low,36.5,22.8,Normal,7,2.5,Regular,Medium,Balanced,No,Occasionally,75
36,Male,Medium,High,Low,58.2,24.9,Oily,9,2.7,Light,Medium,Balanced,No,Occasionally,74
25,Male,Medium,Low,High,70.6,29.9,Dry,4,3.5,Light,Medium,Balanced,No,Never,49
21,Female,Medium,Medium,Low,32.6,35.4,Normal,7,1.3,None,Low,Balanced,No,Frequently,46
48,Male,Medium,Medium,Medium,29.4,30.6,Combination,4,1.5,Regular,High,Healthy,No,Never,32
56,Male,Medium,Medium,Medium,79.5,23.9,Combination,8,4.0,Light,Medium,Balanced,No,Frequently,62
58,Male,Low,Medium,Medium,34.4,26.2,Oily,9,2.8,Light,Low,Mixed,No,Never,77
32,Female,High,Medium,High,64.7,36.7,Combination,7,1.3,Light,Low,Healthy,No,Never,80
37,Female,Medium,High,Low,41.3,28.8,Oily,7,1.2,None,Medium,Balanced,No,Never,52
54,Male,High,Medium,High,70.8,21.5,Sensitive,8,3.0,Regular,Low,Balanced,No,Never,96
48,Female,Medium,Medium,Low,49.7,27.9,Oily,9,3.8,Regular,Medium,Balanced,No,Never,93
43,Male,Medium,Medium,Low,57.6,26.3,Normal,5,2.6,Moderate,Medium,Balanced,No,Never,60
36,Female,Medium,Low,Low,62.8,34.0,Sensitive,9,1.5,Moderate,Medium,Healthy,Yes,Frequently,49
25,Male,Medium,Medium,Low,68.0,28.2,Normal,6,2.2,Moderate,Medium,Balanced,No,Never,71
50,Male,Medium,Medium,High,72.3,23.3,Sensitive,4,1.8,Light,Medium,Junk,No,Never,15
48,Female,High,High,High,77.2,37.6,Oily,5,2.7,Light,High,Healthy,No,Occasionally,42
42,Female,High,Low,High,27.2,28.0,Sensitive,8,2.0,None,High,Healthy,Yes,Never,42
44,Male,Medium,Low,High,48.8,19.6,Dry,6,3.6,Regular,Medium,Balanced,No,Occasionally,75
52,Male,Medium,Medium,Low,39.1,31.7,Normal,6,4.0,Regular,Medium,Healthy,No,Occasionally,75
28,Female,Low,Medium,High,42.6,25.5,Sensitive,5,1.7,Moderate,Medium,Healthy,No,Occasionally,41
57,Male,Medium,Medium,Low,60.0,22.6,Normal,9,1.8,Light,Low,Mixed,Yes,Occasionally,45
22,Female,High,Medium,High,50.5,23.0,Sensitive,6,1.6,Light,Medium,Healthy,No,Never,61
36,Male,High,Medium,Medium,59.0,31.7,Sensitive,9,3.9,Regular,Medium,Mixed,Yes,Occasionally,73
56,Female,Medium,High,Medium,71.0,31.6,Oily,5,2.9,Regular,Medium,Balanced,No,Never,64
26,Male,Medium,High,High,37.0,33.7,Sensitive,6,2.6,Regular,High,Healthy,Yes,Never,50
36,Female,Medium,Medium,Low,33.4,37.3,Combination,9,3.2,Regular,High,Mixed,No,Occasionally,67
34,Male,Medium,Medium,Low,65.4,31.4,Normal,8,2.1,Moderate,Medium,Mixed,No,Occasionally,73
38,Male,Medium,Medium,Low,63.1,27.3,Normal,9,1.9,Moderate,Low,Junk,No,Never,64
33,Male,Medium,High,Medium,57.4,29.7,Oily,9,1.5,Moderate,Low,Balanced,No,Frequently,66
41,Male,High,High,Low,66.1,28.9,Oily,9,2.1,Light,Low,Healthy,Yes,Never,87
31,Male,Low,High,High,37.3,34.6,Dry,8,1.6,Light,High,Balanced,No,Frequently,25
35,Male,High,Medium,High,31.6,35.3,Sensitive,5,1.0,Regular,Low,Balanced,No,Never,68
44,Male,Medium,Medium,Medium,71.7,28.3,Combination,4,2.4,Light,Medium,Mixed,Yes,Occasionally,24
47,Male,Low,Low,High,54.4,36.2,Dry,4,3.7,Light,Low,Healthy,No,Never,59
38,Female,High,Medium,High,61.3,20.0,Sensitive,9,1.3,Moderate,High,Balanced,Yes,Never,42
44,Female,Medium,Medium,Medium,68.8,24.3,Combination,6,3.0,Light,Low,Junk,No,Occasionally,57
45,Male,Medium,Medium,Low,58.4,29.7,Combination,8,2.7,Moderate,Medium,Junk,Yes,Never,54
21,Female,Medium,Medium,Low,46.1,29.6,Normal,5,1.5,Moderate,High,Balanced,No,Never,33
54,Male,High,Medium,High,61.8,30.9,Combination,4,2.8,Moderate,Medium,Healthy,No,Occasionally,51
40,Male,Low,Low,Low,69.5,37.4,Dry,4,3.2,Light,Medium,Balanced,No,Occasionally,48
54,Male,Low,Low,High,28.0,19.6,Sensitive,7,3.0,Moderate,Medium,Healthy,No,Never,75
25,Female,Medium,Medium,Low,60.6,28.5,Normal,6,1.1,Light,Medium,Healthy,No,Never,55
34,Female,Low,High,Low,47.8,32.1,Oily,8,2.7,Moderate,Medium,Balanced,No,Never,77
22,Female,Medium,Medium,Low,59.4,32.2,Normal,7,1.9,Moderate,High,Healthy,Yes,Never,42
41,Male,Low,High,Low,29.7,35.4,Oily,9,2.0,Light,Low,Balanced,No,Never,88
40,Female,High,Medium,Low,39.2,20.9,Combination,5,1.5,Light,High,Healthy,Yes,Occasionally,19
54,Female,Medium,Medium,Low,77.9,30.9,Normal,8,2.0,Regular,Low,Balanced,No,Occasionally,90
35,Male,Low,High,Low,47.1,23.7,Oily,9,3.6,Regular,Medium,Balanced,No,Never,93
20,Female,High,High,Medium,61.3,28.0,Sensitive,4,2.4,Regular,High,Junk,No,Occasionally,27
33,Female,High,High,High,46.8,36.4,Sensitive,7,2.2,Light,Medium,Mixed,No,Never,67
53,Female,High,High,High,77.4,24.7,Oily,8,3.0,Regular,Low,Mixed,No,Never,96
23,Female,Medium,Medium,Low,63.6,24.6,Normal,5,3.0,Regular,Medium,Mixed,No,Occasionally,62
50,Female,Low,High,Medium,71.0,21.8,Dry,5,1.5,Light,High,Balanced,No,Occasionally,15
20,Female,High,Low,High,34.3,21.6,Sensitive,9,3.3,Regular,Low,Balanced,No,Occasionally,100
46,Female,Medium,Medium,Low,57.0,24.2,Combination,7,3.7,Light,Medium,Balanced,No,Occasionally,71
42,Female,Low,High,Medium,40.0,30.8,Sensitive,6,2.7,None,High,Junk,No,Occasionally,14
46,Male,Low,Medium,Low,74.0,35.7,Combination,4,2.2,Light,Medium,Balanced,No,Never,39
24,Female,Low,Medium,Low,42.2,34.6,Combination,9,3.5,Regular,Medium,Balanced,Yes,Never,73
27,Female,Low,Low,Low,50.2,33.9,Dry,7,1.2,Regular,Medium,Balanced,No,Never,67
27,Female,High,Medium,Low,64.9,19.7,Oily,6,1.2,Moderate,Medium,Junk,No,Never,47
20,Female,Medium,High,Low,72.3,24.9,Sensitive,9,3.0,None,Medium,Mixed,No,Never,69
59,Male,High,Medium,Medium,83.8,27.6,Combination,5,3.4,None,High,Balanced,No,Never,35
20,Female,High,Medium,High,57.6,23.1,Sensitive,9,1.6,Light,High,Junk,No,Never,38
45,Female,Medium,Medium,Medium,83.4,27.9,Combination,7,2.1,Regular,Low,Healthy,No,Never,100
29,Female,Low,High,Low,61.2,26.5,Oily,9,2.3,Moderate,Medium,Junk,No,Never,67
21,Male,Medium,Medium,Low,49.4,28.3,Normal,9,3.0,Regular,Low,Balanced,No,Never,100
33,Female,High,Low,Low,52.0,25.4,Oily,7,3.3,Moderate,Medium,Balanced,No,Never,85
19,Male,Medium,Medium,Low,48.2,29.2,Normal,6,3.3,Regular,Low,Balanced,No,Frequently,75
25,Male,Medium,Low,High,51.7,19.8,Sensitive,9,3.9,Regular,Medium,Mixed,No,Never,86
28,Male,High,Medium,Low,32.3,22.0,Combination,5,1.7,Moderate,Medium,Balanced,No,Frequently,39
57,Male,Low,Low,Medium,49.6,26.2,Dry,8,1.2,Regular,Medium,Balanced,No,Never,67
53,Male,Low,Medium,Medium,55.2,35.4,Combination,4,2.6,Light,Low,Junk,No,Frequently,23
36,Male,High,High,Low,43.2,28.7,Oily,8,2.9,Moderate,Medium,Healthy,No,Frequently,78
54,Male,Low,Medium,Low,27.7,30.8,Combination,8,1.8,Light,Medium,Balanced,No,Occasionally,50
36,Female,Medium,Medium,Low,73.3,31.7,Normal,6,2.4,Moderate,Low,Balanced,No,Never,78
38,Female,Medium,Medium,Medium,32.8,25.4,Combination,8,1.3,Light,Low,Balanced,No,Never,74
57,Female,High,Medium,Low,59.7,24.3,Oily,5,2.5,Moderate,Medium,Balanced,No,Frequently,50
47,Male,Medium,Medium,Medium,77.9,31.1,Oily,7,1.9,None,Low,Healthy,No,Never,60
41,Male,High,Medium,Medium,29.4,28.1,Oily,8,1.8,Regular,Medium,Healthy,Yes,Never,72
39,Female,Low,Medium,High,55.5,28.0,Combination,4,1.1,Regular,High,Balanced,No,Occasionally,17
38,Female,High,Low,Medium,45.2,34.6,Dry,8,2.5,Moderate,Medium,Healthy,No,Never,92
55,Female,High,Medium,High,62.8,29.9,Combination,6,3.9,Regular,High,Balanced,No,Never,60
51,Female,Medium,Low,High,31.6,18.4,Dry,6,2.3,Moderate,Low,Balanced,No,Never,75
21,Male,Medium,Medium,Low,58.7,38.0,Normal,7,2.6,Light,Low,Junk,No,Never,71
59,Female,Medium,Medium,Low,36.5,22.9,Normal,8,1.9,Regular,High,Mixed,No,Occasionally,44
38,Female,High,High,Low,32.3,31.5,Oily,7,3.7,Light,Low,Mixed,No,Never,90
23,Female,High,Medium,High,37.8,34.6,Sensitive,6,3.8,Moderate,Low,Balanced,No,Never,89
51,Male,Medium,Medium,Low,28.1,26.3,Normal,9,2.4,Moderate,Low,Junk,Yes,Never,62
48,Female,Medium,Medium,Low,70.4,23.7,Normal,6,2.9,Regular,Low,Balanced,No,Occasionally,72
29,Female,Low,Low,High,48.8,27.9,Sensitive,9,3.9,Regular,High,Healthy,No,Never,76
36,Female,High,High,High,81.3,35.0,Sensitive,7,1.8,Regular,Low,Mixed,No,Occasionally,69
39,Female,Medium,Medium,Low,70.4,21.5,Normal,9,3.7,Regular,Medium,Healthy,No,Never,98
48,Female,Low,Medium,High,51.8,23.3,Sensitive,6,1.9,Regular,Low,Mixed,No,Never,51
47,Female,Medium,Medium,High,71.2,31.8,Dry,9,3.7,Light,Medium,Healthy,No,Never,84
56,Female,Medium,High,Medium,64.8,22.4,Oily,5,3.0,Moderate,High,Balanced,No,Never,48
25,Male,High,Medium,Low,59.4,21.0,Combination,6,3.6,Moderate,Medium,Mixed,No,Occasionally,70
21,Female,Low,Low,High,65.4,24.2,Dry,4,2.2,Regular,Medium,Balanced,No,Never,49
52,Male,Low,Medium,Low,49.5,33.4,Sensitive,9,3.9,Moderate,Medium,Junk,No,Occasionally,60
42,Male,Medium,Medium,Low,64.7,28.8,Normal,9,3.6,None,High,Balanced,No,Frequently,50
18,Male,Medium,High,High,50.4,25.6,Sensitive,5,1.7,Light,Low,Junk,No,Never,39
60,Female,Medium,Medium,Low,81.2,35.8,Normal,5,1.6,None,Low,Balanced,No,Never,41
20,Female,Medium,High,Medium,33.4,37.9,Oily,5,3.4,Regular,Low,Balanced,No,Never,81
27,Male,Medium,High,Medium,69.1,21.5,Oily,9,2.3,Moderate,High,Junk,No,Occasionally,49
44,Female,Low,Medium,Medium,76.0,24.0,Dry,9,1.4,Moderate,Low,Balanced,No,Never,77
33,Female,High,High,High,30.5,32.5,Oily,5,1.2,Light,Medium,Healthy,No,Occasionally,47
60,Male,Medium,Medium,Low,77.2,24.7,Normal,4,1.6,Light,Medium,Mixed,No,Frequently,16
56,Male,Medium,High,Low,53.0,31.0,Oily,6,1.8,Moderate,Medium,Healthy,Yes,Never,45
38,Male,Medium,High,Low,33.8,23.2,Oily,8,2.7,Moderate,Low,Balanced,No,Occasionally,87
53,Female,High,High,Medium,54.4,21.4,Oily,6,1.5,Regular,Medium,Junk,No,Occasionally,39
51,Male,Low,Medium,High,27.9,18.1,Combination,5,3.5,Light,Medium,Healthy,No,Never,55
58,Female,Medium,Medium,Low,25.9,28.6,Normal,7,1.0,Moderate,Low,Junk,No,Occasionally,52
45,Male,Low,Low,Low,56.6,34.3,Dry,6,3.4,None,High,Balanced,No,Occasionally,34
23,Male,Low,Low,Low,25.6,21.4,Dry,7,3.5,Moderate,Low,Junk,Yes,Occasionally,50
32,Male,High,High,High,27.8,19.5,Sensitive,6,3.7,Moderate,Low,Junk,No,Frequently,60
27,Female,Medium,Low,High,59.0,35.0,Sensitive,9,3.7,Light,High,Healthy,Yes,Occasionally,53
40,Male,Low,Low,High,61.8,29.9,Dry,6,1.1,Light,High,Balanced,No,Frequently,16
29,Female,Medium,Medium,High,29.9,21.1,Dry,9,3.4,Light,Medium,Balanced,No,Frequently,69
41,Female,Low,Low,High,55.7,20.1,Dry,4,2.1,None,Medium,Balanced,No,Never,32
23,Male,Medium,Medium,Low,35.2,25.6,Normal,5,1.8,Light,Low,Healthy,No,Never,62
22,Female,Medium,High,Medium,36.7,20.1,Oily,6,1.0,Light,High,Balanced,Yes,Never,22
59,Male,High,High,Medium,35.7,26.0,Oily,6,1.9,Moderate,Medium,Balanced,No,Never,60
43,Female,Low,Low,Medium,65.9,29.0,Dry,9,2.4,Regular,Medium,Healthy,No,Occasionally,88
44,Female,Low,Low,Low,50.4,25.5,Dry,7,4.0,Moderate,Medium,Balanced,Yes,Occasionally,59
20,Female,High,Medium,High,63.3,19.7,Combination,5,3.0,Light,Medium,Healthy,Yes,Occasionally,49
39,Female,Low,Low,High,58.5,31.8,Dry,5,2.3,Light,High,Balanced,No,Never,31
48,Male,High,Medium,High,68.8,25.0,Oily,6,2.4,Light,Medium,Balanced,No,Occasionally,56
22,Female,Medium,Low,Medium,31.6,34.0,Dry,9,1.7,Light,Low,Balanced,Yes,Never,62
58,Male,Medium,Low,High,78.0,27.0,Dry,7,2.2,Regular,Low,Mixed,No,Never,77
52,Male,Medium,Medium,Medium,54.4,37.3,Oily,6,2.8,Moderate,Medium,Balanced,Yes,Occasionally,48
37,Male,Medium,Medium,Low,43.8,22.8,Normal,4,1.5,Moderate,Medium,Balanced,No,Never,40
49,Male,Medium,Medium,Low,54.4,20.8,Normal,6,3.5,Moderate,High,Junk,No,Never,40
53,Female,Medium,High,Low,35.0,29.3,Oily,5,1.9,Light,Medium,Healthy,No,Occasionally,42
49,Male,Medium,Medium,Low,41.1,28.9,Normal,6,2.6,Regular,High,Balanced,No,Never,57
59,Male,High,High,Low,74.0,26.8,Oily,4,3.3,Light,High,Balanced,No,Occasionally,37
45,Male,Medium,Medium,Low,72.1,34.3,Normal,4,2.7,Moderate,Medium,Healthy,Yes,Never,46
35,Male,Medium,Low,Low,41.6,31.1,Dry,9,3.6,Light,Medium,Mixed,No,Occasionally,75
27,Female,Medium,Medium,Low,47.5,19.5,Normal,4,2.2,Regular,Medium,Junk,No,Never,46
18,Male,Medium,Medium,High,64.8,25.2,Combination,4,3.4,Light,High,Mixed,No,Never,31
39,Male,Medium,Medium,Low,54.1,24.9,Normal,9,3.3,None,Medium,Mixed,No,Frequently,55
46,Female,High,Low,High,32.9,31.0,Dry,5,3.6,Regular,Low,Balanced,No,Occasionally,76
28,Male,Medium,High,Low,64.3,32.1,Oily,4,1.6,None,Medium,Balanced,No,Never,26
25,Female,Medium,Medium,Low,53.7,22.6,Normal,4,3.2,None,Low,Junk,No,Occasionally,38
26,Male,Low,Low,Low,46.1,22.3,Dry,9,1.5,Moderate,Medium,Junk,No,Never,55
25,Female,Medium,High,Low,63.7,23.0,Oily,8,2.8,Moderate,High,Mixed,Yes,Occasionally,41
31,Male,Medium,Medium,High,28.3,36.0,Combination,5,2.5,None,Medium,Balanced,No,Frequently,30
38,Male,High,High,Medium,35.4,27.4,Oily,4,1.1,None,Low,Healthy,No,Occasionally,43
36,Female,Medium,High,Medium,34.2,19.7,Oily,4,2.5,Light,High,Balanced,No,Occasionally,33
59,Male,Medium,High,Low,39.7,36.5,Oily,4,2.4,Moderate,Low,Mixed,No,Never,57
26,Male,High,Low,High,68.2,21.3,Dry,5,3.2,Regular,Medium,Healthy,Yes,Never,64
35,Male,High,High,Medium,55.6,19.1,Oily,8,1.5,Light,High,Junk,No,Never,41
50,Male,Medium,Low,Medium,48.0,21.0,Dry,4,2.7,Regular,Medium,Balanced,No,Never,57
38,Female,High,Medium,Medium,32.2,31.5,Combination,4,1.5,Regular,High,Junk,No,Never,21
37,Female,Low,Low,Medium,72.1,32.8,Dry,5,2.4,Moderate,Medium,Mixed,No,Frequently,42
33,Male,Low,Low,Medium,75.4,35.5,Dry,6,1.0,Moderate,High,Mixed,No,Never,30
44,Female,Low,High,Medium,27.6,22.6,Sensitive,8,2.2,Regular,Medium,Mixed,No,Never,79
43,Male,Medium,Medium,Low,28.7,31.2,Normal,5,1.7,Light,Low,Mixed,No,Occasionally,43
46,Female,High,Medium,Medium,31.5,20.1,Oily,7,2.4,Moderate,Medium,Junk,No,Never,62
25,Male,Medium,Medium,High,27.4,34.7,Dry,6,1.4,Regular,High,Balanced,No,Never,47
29,Male,Medium,High,High,40.0,27.2,Sensitive,5,1.4,None,High,Healthy,No,Never,23
58,Male,Medium,Medium,Low,40.5,34.3,Normal,4,4.0,Light,Medium,Mixed,No,Occasionally,43
39,Male,Low,Low,High,74.3,25.9,Dry,4,2.1,Moderate,Medium,Junk,No,Never,30
20,Male,Medium,Medium,Low,54.9,35.7,Normal,7,1.2,Light,Low,Healthy,Yes,Never,62
52,Male,High,Medium,High,71.9,24.9,Sensitive,8,2.5,Light,Low,Balanced,No,Occasionally,82
35,Male,Medium,Medium,High,46.4,29.7,Combination,5,3.9,None,Medium,Healthy,No,Frequently,38
32,Female,High,High,Low,60.6,34.1,Oily,9,2.1,Moderate,Medium,Balanced,No,Never,88
49,Female,Low,Low,High,26.2,27.6,Dry,6,3.8,Light,Low,Mixed,Yes,Occasionally,41
21,Male,Medium,Low,Low,56.6,25.3,Dry,4,2.1,Regular,Medium,Healthy,No,Never,63
45,Female,Medium,Medium,Low,35.5,37.4,Normal,9,3.7,Moderate,Medium,Mixed,No,Never,87
36,Male,Low,Low,High,76.0,33.4,Dry,8,1.1,Moderate,High,Junk,No,Never,31
27,Female,Low,Medium,Medium,83.9,21.4,Combination,4,3.5,Moderate,Medium,Balanced,No,Never,57
22,Female,Low,Low,Low,69.0,37.4,Oily,7,2.5,Light,Medium,Healthy,No,Occasionally,70
32,Male,Medium,Medium,Low,73.0,18.7,Normal,4,2.0,Regular,Low,Healthy,No,Occasionally,71
23,Female,Medium,Medium,Low,61.8,27.7,Normal,4,2.3,Moderate,Medium,Balanced,No,Never,53
44,Female,Medium,Medium,Low,42.8,19.9,Normal,7,2.7,Regular,Low,Balanced,No,Never,95
58,Female,Low,Low,Medium,29.9,34.9,Dry,6,3.4,Moderate,High,Healthy,No,Never,54
42,Female,Low,Low,Medium,75.2,29.3,Dry,5,3.3,Moderate,Low,Balanced,No,Frequently,60
32,Male,High,Medium,Medium,82.9,31.7,Combination,7,2.7,Light,Low,Balanced,Yes,Never,74
51,Male,Medium,Low,High,83.3,34.2,Dry,5,1.1,None,Medium,Healthy,Yes,Never,17
34,Female,Low,Low,High,48.8,24.5,Sensitive,6,2.6,Regular,Low,Mixed,No,Occasionally,64
44,Male,Low,Medium,High,80.5,29.3,Dry,4,3.4,Regular,High,Junk,No,Occasionally,23
56,Female,Low,Low,High,66.6,18.8,Dry,6,3.1,None,Medium,Healthy,No,Never,55
37,Female,Medium,High,Low,77.1,20.7,Oily,9,2.3,Regular,Low,Balanced,No,Never,98
44,Female,Medium,Medium,Low,55.9,21.2,Combination,6,3.1,Moderate,High,Balanced,No,Never,63
30,Male,Medium,High,Medium,41.4,34.5,Oily,8,2.2,Regular,Medium,Healthy,No,Never,95
48,Female,High,High,High,30.4,18.5,Oily,4,1.5,Moderate,High,Junk,No,Occasionally,3
59,Female,Medium,Medium,Low,76.9,37.3,Normal,9,1.0,Regular,Medium,Balanced,No,Never,75
37,Female,Medium,High,Low,53.0,31.5,Oily,8,2.2,None,Medium,Mixed,Yes,Never,49
56,Female,Low,Medium,High,63.4,35.2,Oily,6,3.0,Regular,Medium,Healthy,No,Never,69
56,Female,Medium,Medium,Low,65.8,32.4,Normal,9,2.5,Light,High,Balanced,No,Never,61
30,Female,Low,Medium,High,57.1,33.7,Combination,9,2.1,Light,Low,Mixed,No,Never,77
26,Female,High,Medium,Low,81.8,36.0,Combination,9,1.3,Light,Medium,Balanced,No,Never,71
55,Female,Medium,Medium,Low,32.1,19.1,Normal,9,2.8,Regular,Low,Junk,No,Occasionally,75
51,Female,High,Medium,High,45.6,37.7,Oily,7,1.4,Regular,Low,Healthy,No,Frequently,68
58,Male,Low,Medium,Low,70.9,27.8,Dry,4,1.4,Moderate,Medium,Balanced,No,Never,33
30,Female,Medium,High,Medium,65.6,30.5,Sensitive,5,1.7,Regular,Low,Healthy,No,Never,66
20,Female,Medium,High,High,56.4,26.7,Sensitive,9,4.0,Light,High,Balanced,No,Frequently,57
43,Male,High,Medium,Medium,60.4,21.4,Oily,6,3.1,Regular,Medium,Balanced,No,Occasionally,81
21,Male,Medium,Medium,Low,26.2,31.8,Normal,7,2.3,None,Low,Mixed,No,Occasionally,60
37,Female,Medium,Medium,Low,64.7,23.4,Normal,8,3.1,Moderate,High,Balanced,No,Never,75
24,Female,Low,Low,Medium,37.1,32.1,Dry,6,1.5,Moderate,High,Mixed,No,Never,29
60,Male,High,High,High,82.0,33.6,Sensitive,4,3.2,None,Low,Healthy,Yes,Never,42
21,Male,Low,Medium,Medium,46.6,31.5,Combination,7,3.2,None,High,Healthy,Yes,Occasionally,31
39,Female,High,Medium,High,30.6,34.3,Sensitive,5,1.3,Moderate,Medium,Mixed,No,Never,46
59,Male,Medium,Low,High,34.6,26.3,Dry,8,2.4,Moderate,Medium,Balanced,No,Occasionally,72
26,Female,Low,Medium,High,28.8,31.1,Sensitive,4,3.1,Moderate,High,Balanced,No,Frequently,26
39,Male,High,High,Medium,63.5,21.0,Oily,8,3.7,Moderate,Low,Junk,No,Never,87
28,Male,Medium,Medium,Low,44.9,23.6,Combination,8,1.7,Moderate,Medium,Healthy,No,Occasionally,69
23,Female,Low,High,Medium,31.2,26.2,Oily,8,2.6,Regular,High,Junk,No,Occasionally,48
31,Female,Medium,Low,High,75.7,24.6,Sensitive,8,2.8,Regular,Medium,Balanced,No,Occasionally,76
39,Female,Medium,Medium,High,56.3,32.0,Combination,4,3.7,Moderate,High,Mixed,No,Never,35
30,Male,Medium,Low,High,71.9,32.3,Sensitive,4,3.3,None,Medium,Mixed,No,Occasionally,32
60,Male,Low,High,High,58.2,26.7,Sensitive,8,2.4,Moderate,High,Healthy,No,Occasionally,52
24,Female,Medium,Medium,Low,61.4,24.4,Normal,7,2.3,Moderate,Medium,Healthy,No,Never,82
46,Male,Medium,Medium,Medium,75.6,29.0,Dry,6,3.1,Regular,Medium,Healthy,No,Never,79
26,Male,Medium,Medium,Low,66.7,24.4,Normal,4,3.3,Moderate,Medium,Junk,No,Occasionally,43
52,Female,Medium,Low,High,26.5,20.9,Sensitive,9,1.2,Light,High,Junk,No,Never,26
