Skin_Issue,Eat,Avoid,Water_Intake
Dark Spots,"Spinach, Vitamin C Fruits, Strawberries","Sugary Snacks, Smoking",3 L
Sensitive Skin,"Rice, Boiled Vegetables, Oats","Alcohol, Artificial Colors",3 L
Acne,"Tomato, Cucumber, Pumpkin Seeds","Junk Food, Chips",3 L
Sensitive Skin,"Banana, Boiled Vegetables, Oats","Alcohol, Artificial Colors",3 L
Redness,"Chamomile Tea, Leafy Greens, Watermelon","Alcohol, Spicy Food",3 L
Pigmentation,"Amla, Tomato, Orange","Alcohol, Highly Processed Food",3 L
Blackheads,"Leafy Greens, Oats, Apple","Processed Snacks, Greasy Food",2.5 L
Whiteheads,"Kiwi, Almonds, Tomato","Deep Fried Food, Sugary Foods",2.5 L
Dry Skin,"Flax Seeds, Walnuts, Sweet Potato","Coffee (excess), Alcohol",3.5 L
Pigmentation,"Amla, Lemon, Orange","Soft Drinks, Alcohol",3 L
Whiteheads,"Tomato, Carrot, Almonds","Sugary Foods, Deep Fried Food",2.5 L
Dry Skin,"Avocado, Flax Seeds, Walnuts","Coffee (excess), Alcohol",3.5 L
Dry Skin,"Sweet Potato, Avocado, Walnuts","Coffee (excess), Alcohol",3.5 L
Wrinkles,"Nuts, Berries, Olive Oil","Processed Meat, Excess Sugar",3.5 L
Redness,"Watermelon, Cucumber, Leafy Greens","Spicy Food, Alcohol",3 L
Redness,"Chamomile Tea, Watermelon, Leafy Greens","Alcohol, Spicy Food",3 L
Dry Skin,"Sweet Potato, Flax Seeds, Avocado","Alcohol, Coffee (excess)",3.5 L
Whiteheads,"Almonds, Tomato, Carrot","Deep Fried Food, Sugary Foods",2.5 L
Pigmentation,"Lemon, Amla, Bell Pepper","Soft Drinks, Highly Processed Food",3 L
Blackheads,"Oats, Cucumber, Apple","Greasy Food, Processed Snacks",2.5 L
Wrinkles,"Fish, Olive Oil, Berries","Processed Meat, Excess Sugar",3.5 L
Acne,"Tomato, Salmon, Pumpkin Seeds","Chocolate (excess), Junk Food",3 L
Sensitive Skin,"Boiled Vegetables, Rice, Oats","Artificial Colors, Alcohol",3 L
Wrinkles,"Fish, Nuts, Berries","Excess Sugar, Processed Meat",3.5 L
Wrinkles,"Fish, Avocado, Nuts","Processed Meat, Excess Sugar",3.5 L
Blackheads,"Cucumber, Apple, Leafy Greens","Processed Snacks, Greasy Food",2.5 L
Pimples,"Yogurt, Papaya, Green Tea","Fast Food, Soft Drinks",3 L
Pigmentation,"Bell Pepper, Lemon, Orange","Alcohol, Highly Processed Food",3 L
Dark Spots,"Vitamin C Fruits, Spinach, Strawberries","Smoking, Sugary Snacks",3 L
Dry Skin,"Avocado, Walnuts, Sweet Potato","Alcohol, Coffee (excess)",3.5 L
Pimples,"Orange, Green Tea, Yogurt","Fast Food, Soft Drinks",3 L
Sensitive Skin,"Rice, Oats, Banana","Artificial Colors, Spicy Food",3 L
Sensitive Skin,"Rice, Boiled Vegetables, Banana","Artificial Colors, Spicy Food",3 L
Sensitive Skin,"Oats, Boiled Vegetables, Rice","Spicy Food, Alcohol",3 L
Pigmentation,"Amla, Bell Pepper, Tomato","Highly Processed Food, Soft Drinks",3 L
Pimples,"Green Tea, Papaya, Orange","Soft Drinks, Ice Cream",3 L
Sensitive Skin,"Oats, Banana, Boiled Vegetables","Artificial Colors, Alcohol",3 L
Dark Spots,"Strawberries, Vitamin C Fruits, Spinach","Smoking, Sugary Snacks",3 L
Pimples,"Yogurt, Broccoli, Green Tea","Ice Cream, Fast Food",3 L
Wrinkles,"Nuts, Olive Oil, Fish","Processed Meat, Excess Sugar",3.5 L
Wrinkles,"Berries, Olive Oil, Nuts","Excess Sugar, Processed Meat",3.5 L
Pigmentation,"Bell Pepper, Tomato, Amla","Highly Processed Food, Alcohol",3 L
Dark Spots,"Strawberries, Vitamin C Fruits, Spinach","Sugary Snacks, Smoking",3 L
Whiteheads,"Almonds, Tomato, Kiwi","Deep Fried Food, Sugary Foods",2.5 L
Redness,"Cucumber, Chamomile Tea, Leafy Greens","Spicy Food, Alcohol",3 L
Wrinkles,"Fish, Nuts, Olive Oil","Processed Meat, Excess Sugar",3.5 L
Dry Skin,"Avocado, Sweet Potato, Flax Seeds","Coffee (excess), Alcohol",3.5 L
Whiteheads,"Almonds, Kiwi, Tomato","Deep Fried Food, Sugary Foods",2.5 L
Wrinkles,"Berries, Olive Oil, Nuts","Processed Meat, Excess Sugar",3.5 L
Pigmentation,"Lemon, Tomato, Orange","Highly Processed Food, Soft Drinks",3 L
Dark Spots,"Strawberries, Spinach, Vitamin C Fruits","Sugary Snacks, Smoking",3 L
Pigmentation,"Amla, Lemon, Orange","Soft Drinks, Alcohol",3 L
Whiteheads,"Almonds, Carrot, Tomato","Sugary Foods, Deep Fried Food",2.5 L
Pigmentation,"Orange, Amla, Lemon","Alcohol, Soft Drinks",3 L
Dry Skin,"Avocado, Sweet Potato, Flax Seeds","Alcohol, Coffee (excess)",3.5 L
Dry Skin,"Walnuts, Avocado, Sweet Potato","Alcohol, Coffee (excess)",3.5 L
Pimples,"Orange, Yogurt, Papaya","Fast Food, Soft Drinks",3 L
Blackheads,"Oats, Leafy Greens, Cucumber","Greasy Food, Processed Snacks",2.5 L
Pimples,"Green Tea, Yogurt, Broccoli","Soft Drinks, Fast Food",3 L
Redness,"Leafy Greens, Watermelon, Chamomile Tea","Alcohol, Spicy Food",3 L
Pigmentation,"Amla, Orange, Lemon","Highly Processed Food, Soft Drinks",3 L
Whiteheads,"Tomato, Kiwi, Carrot","Sugary Foods, Deep Fried Food",2.5 L
Blackheads,"Apple, Cucumber, Leafy Greens","Processed Snacks, Greasy Food",2.5 L
Sensitive Skin,"Boiled Vegetables, Rice, Oats","Spicy Food, Artificial Colors",3 L
Pigmentation,"Bell Pepper, Orange, Lemon","Soft Drinks, Alcohol",3 L
Sensitive Skin,"Rice, Boiled Vegetables, Oats","Alcohol, Spicy Food",3 L
Blackheads,"Leafy Greens, Apple, Cucumber","Greasy Food, Processed Snacks",2.5 L
Pigmentation,"Amla, Lemon, Tomato","Soft Drinks, Alcohol",3 L
Pigmentation,"Bell Pepper, Lemon, Amla","Highly Processed Food, Alcohol",3 L
Dry Skin,"Avocado, Walnuts, Sweet Potato","Alcohol, Coffee (excess)",3.5 L
Sensitive Skin,"Banana, Oats, Boiled Vegetables","Spicy Food, Alcohol",3 L
Pigmentation,"Amla, Orange, Bell Pepper","Alcohol, Highly Processed Food",3 L
Pigmentation,"Tomato, Bell Pepper, Lemon","Alcohol, Soft Drinks",3 L
Dry Skin,"Walnuts, Flax Seeds, Sweet Potato","Alcohol, Coffee (excess)",3.5 L
Blackheads,"Leafy Greens, Oats, Cucumber","Processed Snacks, Greasy Food",2.5 L
Redness,"Cucumber, Watermelon, Leafy Greens","Alcohol, Spicy Food",3 L
Dark Spots,"Strawberries, Vitamin C Fruits, Spinach","Smoking, Sugary Snacks",3 L
Acne,"Tomato, Blueberries, Cucumber","Fried Food, Chocolate (excess)",3 L
Dry Skin,"Avocado, Sweet Potato, Flax Seeds","Coffee (excess), Alcohol",3.5 L
Dry Skin,"Sweet Potato, Avocado, Walnuts","Coffee (excess), Alcohol",3.5 L
Pigmentation,"Amla, Orange, Lemon","Alcohol, Soft Drinks",3 L
Whiteheads,"Carrot, Tomato, Kiwi","Sugary Foods, Deep Fried Food",2.5 L
Pigmentation,"Amla, Lemon, Tomato","Alcohol, Highly Processed Food",3 L
Whiteheads,"Kiwi, Almonds, Carrot","Deep Fried Food, Sugary Foods",2.5 L
Sensitive Skin,"Rice, Oats, Boiled Vegetables","Artificial Colors, Alcohol",3 L
Redness,"Chamomile Tea, Cucumber, Watermelon","Alcohol, Spicy Food",3 L
Blackheads,"Cucumber, Leafy Greens, Oats","Processed Snacks, Greasy Food",2.5 L
Redness,"Leafy Greens, Watermelon, Chamomile Tea","Spicy Food, Alcohol",3 L
Sensitive Skin,"Boiled Vegetables, Oats, Rice","Spicy Food, Artificial Colors",3 L
Dry Skin,"Sweet Potato, Flax Seeds, Avocado","Alcohol, Coffee (excess)",3.5 L
Blackheads,"Leafy Greens, Apple, Oats","Greasy Food, Processed Snacks",2.5 L
Acne,"Cucumber, Tomato, Walnuts","Sugary Drinks, Junk Food",3 L
Dry Skin,"Walnuts, Flax Seeds, Sweet Potato","Coffee (excess), Alcohol",3.5 L
Redness,"Leafy Greens, Watermelon, Chamomile Tea","Spicy Food, Alcohol",3 L
Whiteheads,"Almonds, Carrot, Kiwi","Deep Fried Food, Sugary Foods",2.5 L
Pimples,"Yogurt, Papaya, Broccoli","Ice Cream, Fast Food",3 L
Acne,"Walnuts, Salmon, Spinach","Chips, Fried Food",3 L
Dark Spots,"Vitamin C Fruits, Strawberries, Spinach","Smoking, Sugary Snacks",3 L
Blackheads,"Oats, Apple, Cucumber","Greasy Food, Processed Snacks",2.5 L
Sensitive Skin,"Rice, Oats, Boiled Vegetables","Alcohol, Artificial Colors",3 L
Dry Skin,"Walnuts, Sweet Potato, Avocado","Alcohol, Coffee (excess)",3.5 L
Redness,"Watermelon, Cucumber, Leafy Greens","Alcohol, Spicy Food",3 L
Wrinkles,"Olive Oil, Fish, Nuts","Excess Sugar, Processed Meat",3.5 L
Dry Skin,"Avocado, Sweet Potato, Flax Seeds","Alcohol, Coffee (excess)",3.5 L
Pigmentation,"Orange, Bell Pepper, Tomato","Soft Drinks, Highly Processed Food",3 L
Sensitive Skin,"Boiled Vegetables, Rice, Oats","Alcohol, Artificial Colors",3 L
Whiteheads,"Tomato, Almonds, Kiwi","Sugary Foods, Deep Fried Food",2.5 L
Acne,"Blueberries, Salmon, Tomato","Junk Food, Chips",3 L
Blackheads,"Apple, Oats, Leafy Greens","Processed Snacks, Greasy Food",2.5 L
Whiteheads,"Tomato, Almonds, Kiwi","Deep Fried Food, Sugary Foods",2.5 L
Pigmentation,"Bell Pepper, Lemon, Amla","Alcohol, Soft Drinks",3 L
Dry Skin,"Avocado, Sweet Potato, Walnuts","Alcohol, Coffee (excess)",3.5 L
Pimples,"Yogurt, Orange, Papaya","Soft Drinks, Fast Food",3 L
Dry Skin,"Walnuts, Sweet Potato, Flax Seeds","Alcohol, Coffee (excess)",3.5 L
Pimples,"Papaya, Yogurt, Orange","Soft Drinks, Ice Cream",3 L
Sensitive Skin,"Rice, Banana, Oats","Alcohol, Artificial Colors",3 L
Pigmentation,"Bell Pepper, Orange, Amla","Soft Drinks, Highly Processed Food",3 L
Pigmentation,"Bell Pepper, Orange, Amla","Soft Drinks, Highly Processed Food",3 L
Wrinkles,"Fish, Olive Oil, Berries","Processed Meat, Excess Sugar",3.5 L
Wrinkles,"Avocado, Fish, Olive Oil","Processed Meat, Excess Sugar",3.5 L
Acne,"Walnuts, Carrot, Tomato","Chocolate (excess), Sugary Drinks",3 L
Dark Spots,"Strawberries, Vitamin C Fruits, Spinach","Sugary Snacks, Smoking",3 L
Pigmentation,"Tomato, Orange, Amla","Soft Drinks, Highly Processed Food",3 L
Sensitive Skin,"Oats, Boiled Vegetables, Rice","Spicy Food, Alcohol",3 L
Sensitive Skin,"Rice, Oats, Banana","Alcohol, Spicy Food",3 L
Whiteheads,"Almonds, Carrot, Kiwi","Deep Fried Food, Sugary Foods",2.5 L
Blackheads,"Leafy Greens, Apple, Cucumber","Greasy Food, Processed Snacks",2.5 L
Acne,"Walnuts, Salmon, Carrot","Fried Food, Chips",3 L
Acne,"Cucumber, Pumpkin Seeds, Spinach","Sugary Drinks, Chocolate (excess)",3 L
Redness,"Cucumber, Chamomile Tea, Leafy Greens","Alcohol, Spicy Food",3 L
Dark Spots,"Spinach, Strawberries, Vitamin C Fruits","Sugary Snacks, Smoking",3 L
Redness,"Chamomile Tea, Watermelon, Cucumber","Spicy Food, Alcohol",3 L
Wrinkles,"Fish, Avocado, Nuts","Processed Meat, Excess Sugar",3.5 L
Pimples,"Broccoli, Papaya, Orange","Fast Food, Ice Cream",3 L
Sensitive Skin,"Banana, Rice, Boiled Vegetables","Artificial Colors, Alcohol",3 L
Pimples,"Orange, Papaya, Yogurt","Ice Cream, Fast Food",3 L
Wrinkles,"Olive Oil, Fish, Nuts","Processed Meat, Excess Sugar",3.5 L
Dark Spots,"Vitamin C Fruits, Spinach, Strawberries","Smoking, Sugary Snacks",3 L
Dry Skin,"Avocado, Sweet Potato, Walnuts","Coffee (excess), Alcohol",3.5 L
Pimples,"Broccoli, Papaya, Green Tea","Fast Food, Ice Cream",3 L
Pimples,"Yogurt, Broccoli, Green Tea","Ice Cream, Fast Food",3 L
Pigmentation,"Amla, Lemon, Tomato","Soft Drinks, Highly Processed Food",3 L
Blackheads,"Cucumber, Apple, Leafy Greens","Processed Snacks, Greasy Food",2.5 L
Pimples,"Broccoli, Papaya, Yogurt","Soft Drinks, Fast Food",3 L
Sensitive Skin,"Banana, Oats, Boiled Vegetables","Artificial Colors, Alcohol",3 L
Dark Spots,"Vitamin C Fruits, Strawberries, Spinach","Sugary Snacks, Smoking",3 L
Pimples,"Papaya, Orange, Yogurt","Soft Drinks, Fast Food",3 L
Wrinkles,"Fish, Berries, Nuts","Excess Sugar, Processed Meat",3.5 L
Pigmentation,"Lemon, Orange, Bell Pepper","Soft Drinks, Highly Processed Food",3 L
Sensitive Skin,"Oats, Banana, Boiled Vegetables","Artificial Colors, Alcohol",3 L
Wrinkles,"Fish, Berries, Nuts","Processed Meat, Excess Sugar",3.5 L
Redness,"Cucumber, Watermelon, Chamomile Tea","Spicy Food, Alcohol",3 L
Sensitive Skin,"Boiled Vegetables, Banana, Rice","Spicy Food, Alcohol",3 L
Wrinkles,"Berries, Avocado, Fish","Excess Sugar, Processed Meat",3.5 L
Whiteheads,"Tomato, Kiwi, Almonds","Deep Fried Food, Sugary Foods",2.5 L
Acne,"Pumpkin Seeds, Walnuts, Tomato","Sugary Drinks, Fried Food",3 L
Wrinkles,"Berries, Nuts, Olive Oil","Processed Meat, Excess Sugar",3.5 L
Wrinkles,"Avocado, Fish, Berries","Processed Meat, Excess Sugar",3.5 L
Dark Spots,"Spinach, Vitamin C Fruits, Strawberries","Smoking, Sugary Snacks",3 L
Pimples,"Yogurt, Orange, Papaya","Fast Food, Ice Cream",3 L
Dark Spots,"Strawberries, Vitamin C Fruits, Spinach","Sugary Snacks, Smoking",3 L
Sensitive Skin,"Boiled Vegetables, Banana, Oats","Artificial Colors, Alcohol",3 L
Dark Spots,"Strawberries, Vitamin C Fruits, Spinach","Sugary Snacks, Smoking",3 L
Redness,"Watermelon, Leafy Greens, Chamomile Tea","Spicy Food, Alcohol",3 L
Pimples,"Papaya, Broccoli, Orange","Fast Food, Soft Drinks",3 L
Pimples,"Papaya, Yogurt, Green Tea","Soft Drinks, Ice Cream",3 L
Sensitive Skin,"Banana, Boiled Vegetables, Rice","Spicy Food, Artificial Colors",3 L
Pimples,"Yogurt, Green Tea, Broccoli","Ice Cream, Soft Drinks",3 L
Sensitive Skin,"Oats, Rice, Boiled Vegetables","Artificial Colors, Alcohol",3 L
Dry Skin,"Avocado, Sweet Potato, Flax Seeds","Alcohol, Coffee (excess)",3.5 L
Pimples,"Green Tea, Yogurt, Papaya","Soft Drinks, Fast Food",3 L
Dry Skin,"Flax Seeds, Sweet Potato, Walnuts","Coffee (excess), Alcohol",3.5 L
Dry Skin,"Avocado, Flax Seeds, Sweet Potato","Coffee (excess), Alcohol",3.5 L
Whiteheads,"Kiwi, Tomato, Carrot","Deep Fried Food, Sugary Foods",2.5 L
Pigmentation,"Bell Pepper, Amla, Tomato","Highly Processed Food, Soft Drinks",3 L
Dark Spots,"Strawberries, Vitamin C Fruits, Spinach","Smoking, Sugary Snacks",3 L
Pigmentation,"Amla, Tomato, Bell Pepper","Soft Drinks, Highly Processed Food",3 L
Dark Spots,"Vitamin C Fruits, Spinach, Strawberries","Sugary Snacks, Smoking",3 L
Redness,"Leafy Greens, Chamomile Tea, Watermelon","Spicy Food, Alcohol",3 L
Wrinkles,"Berries, Olive Oil, Avocado","Processed Meat, Excess Sugar",3.5 L
Blackheads,"Oats, Cucumber, Leafy Greens","Greasy Food, Processed Snacks",2.5 L
Blackheads,"Oats, Apple, Cucumber","Greasy Food, Processed Snacks",2.5 L
Dark Spots,"Spinach, Strawberries, Vitamin C Fruits","Sugary Snacks, Smoking",3 L
Blackheads,"Oats, Leafy Greens, Cucumber","Greasy Food, Processed Snacks",2.5 L
Dark Spots,"Spinach, Strawberries, Vitamin C Fruits","Smoking, Sugary Snacks",3 L
Whiteheads,"Tomato, Kiwi, Almonds","Sugary Foods, Deep Fried Food",2.5 L
Sensitive Skin,"Boiled Vegetables, Rice, Banana","Artificial Colors, Alcohol",3 L
Blackheads,"Oats, Leafy Greens, Apple","Processed Snacks, Greasy Food",2.5 L
Dry Skin,"Walnuts, Sweet Potato, Avocado","Coffee (excess), Alcohol",3.5 L
Pimples,"Papaya, Broccoli, Green Tea","Soft Drinks, Fast Food",3 L
Wrinkles,"Avocado, Nuts, Fish","Processed Meat, Excess Sugar",3.5 L
Wrinkles,"Avocado, Fish, Olive Oil","Processed Meat, Excess Sugar",3.5 L
Wrinkles,"Avocado, Olive Oil, Berries","Excess Sugar, Processed Meat",3.5 L
Pimples,"Broccoli, Papaya, Orange","Fast Food, Ice Cream",3 L
Dry Skin,"Flax Seeds, Walnuts, Sweet Potato","Alcohol, Coffee (excess)",3.5 L
Pimples,"Orange, Broccoli, Green Tea","Fast Food, Ice Cream",3 L
Pimples,"Broccoli, Papaya, Yogurt","Fast Food, Soft Drinks",3 L
Whiteheads,"Kiwi, Almonds, Tomato","Sugary Foods, Deep Fried Food",2.5 L
Dry Skin,"Avocado, Walnuts, Sweet Potato","Coffee (excess), Alcohol",3.5 L
Wrinkles,"Avocado, Olive Oil, Berries","Processed Meat, Excess Sugar",3.5 L
Pimples,"Green Tea, Broccoli, Orange","Soft Drinks, Fast Food",3 L
Wrinkles,"Fish, Avocado, Olive Oil","Processed Meat, Excess Sugar",3.5 L
Pigmentation,"Orange, Lemon, Amla","Alcohol, Soft Drinks",3 L
Pimples,"Green Tea, Broccoli, Orange","Fast Food, Ice Cream",3 L
Redness,"Chamomile Tea, Leafy Greens, Cucumber","Alcohol, Spicy Food",3 L
Blackheads,"Oats, Apple, Cucumber","Greasy Food, Processed Snacks",2.5 L
Whiteheads,"Carrot, Kiwi, Almonds","Deep Fried Food, Sugary Foods",2.5 L
Redness,"Leafy Greens, Chamomile Tea, Watermelon","Alcohol, Spicy Food",3 L
Whiteheads,"Almonds, Tomato, Carrot","Deep Fried Food, Sugary Foods",2.5 L
Pimples,"Broccoli, Yogurt, Papaya","Soft Drinks, Ice Cream",3 L
Wrinkles,"Olive Oil, Nuts, Fish","Processed Meat, Excess Sugar",3.5 L
Redness,"Chamomile Tea, Cucumber, Watermelon","Spicy Food, Alcohol",3 L
Sensitive Skin,"Rice, Banana, Boiled Vegetables","Artificial Colors, Spicy Food",3 L
Pimples,"Broccoli, Green Tea, Papaya","Ice Cream, Soft Drinks",3 L
Blackheads,"Cucumber, Oats, Leafy Greens","Greasy Food, Processed Snacks",2.5 L
Sensitive Skin,"Boiled Vegetables, Rice, Oats","Spicy Food, Artificial Colors",3 L
Dark Spots,"Spinach, Strawberries, Vitamin C Fruits","Sugary Snacks, Smoking",3 L
Acne,"Cucumber, Spinach, Carrot","Chips, Fried Food",3 L
Wrinkles,"Berries, Avocado, Olive Oil","Excess Sugar, Processed Meat",3.5 L
Dark Spots,"Vitamin C Fruits, Spinach, Strawberries","Sugary Snacks, Smoking",3 L
Wrinkles,"Olive Oil, Berries, Avocado","Excess Sugar, Processed Meat",3.5 L
Blackheads,"Cucumber, Leafy Greens, Oats","Greasy Food, Processed Snacks",2.5 L
Pigmentation,"Bell Pepper, Tomato, Lemon","Alcohol, Highly Processed Food",3 L
Whiteheads,"Carrot, Kiwi, Almonds","Deep Fried Food, Sugary Foods",2.5 L
Dry Skin,"Avocado, Walnuts, Flax Seeds","Alcohol, Coffee (excess)",3.5 L
Redness,"Chamomile Tea, Watermelon, Cucumber","Spicy Food, Alcohol",3 L
Redness,"Watermelon, Cucumber, Chamomile Tea","Spicy Food, Alcohol",3 L
Dry Skin,"Avocado, Flax Seeds, Walnuts","Alcohol, Coffee (excess)",3.5 L
Sensitive Skin,"Oats, Boiled Vegetables, Rice","Artificial Colors, Alcohol",3 L
Redness,"Leafy Greens, Watermelon, Cucumber","Spicy Food, Alcohol",3 L
Pimples,"Yogurt, Green Tea, Broccoli","Soft Drinks, Ice Cream",3 L
Blackheads,"Oats, Apple, Cucumber","Greasy Food, Processed Snacks",2.5 L
